Adam	A Dong
honest (official)	liêm chính
honest, upright, honest	liêm khiết
police, security service	liêm phóng
sense of decency, sense of shame	liêm sĩ
(sense of) decency; decent, modest	liêm sỉ
(1) union, connection; (2) successive, following	liên
union, federation; federal	liên bang
interministerial	liên bộ
implicated, involved	liên can
member of an associated party	liên chi ủy
intergovernmental	liên chính phủ
ticket (list of candidates for office)	liên danh
group of companies, collective, joint-venture	liên doanh
group of families	liên gia
to ally, unite, combine, coalesce	liên hiệp
film or movie festival	liên hoan phim
linked, joined together, uninterrupted	liên hoàn
related; relationship to contact, relate to	liên hệ
to be closely related to each other	liên hệ chặt chẽ với nhau
feedback	liên hệ ngược
continuous, salvo	liên hồi
to conjugate	liên hợp
interzone	liên khu
to unite, associate, link; unit	liên kết
linked, connected with	liên kết với
communication, contact, liaison, get in contact, connect, communicate	liên lạc
spokesperson	liên lạc báo chí
liaison man	liên lạc viên
to communicate with each other	liên lạc với nhau
implicated, involved	liên lụi
to be involved or implicated in	liên lụy
to unite, allied, alliance	liên minh
military alliance	liên minh quân sự
constant, uninterrupted	liên miên
Internet	liên mạng
interdisciplinary	liên ngành
mutual defense	liên phòng
to concern, concerning	liên quan
to be connected with, related to	liên quan tới
related to	liên quan đến
coalition troops	liên quân
Soviet Union	liên sô
continuous, successive, one after another, in a row	liên tiếp
to associate (thoughts), connect (ideas)	liên tưởng
interprovince	liên tỉnh
joint, in joint session	liên tịch
for the last 10 years	liên tục 10 năm qua
to continue, continuous	liên tục
to criticize continuously	liên tục chỉ trích
conjunction	liên từ
through traffic	liên vận
between villages (for administrative purposes)	liên xã
Soviet Union	liên xô
former Soviet Union	liên xô cũ
(labor) union, federation, group, league, syndicate	liên đoàn
labor union	liên đoàn lao động
detachment	liên đội
joint	liên đới
related to	liên ệ tới
interactive	liên ứng
colleague	liêu hữu
subordinate, petty officinal	liêu thuộc
to glance, look sidelong at	liếc
sidelong, out of the corner of one’s eye	liếc mắt
to glance at	liếc mắt nhìn
to glance at, look askance at	liếc nhìn
to glance outside	liếc nhìn ra ngoài
to glance at a clock	liếc nhìn đồng hồ
to look sideways, look askance	liếc xéo
to lick	liếm
to seek profit	liếm láp
to lick somebody’s ass	liếm đít
very glibly	liến thoắng
bamboo screen	liếp
sickle, reaping-hook	liềm
a large sickle with long handle	liềm vạt
contiguous, successive, touching, in a row; immediately, at once, right away	liền
right now, right away, at this very moment	liền bây giờ
uninterrupted, successive	liền liền
to stop right away, stop immediately	liền ngưng hẳn
to say right away	liền nói
immediately, at once	liền tay
unceasingly, incessantly	liền tù tì
daring, foolhardy; to risk; dose, dosage	liều
dose, dosage	liều dùng
normal dose	liều dùng thông thường
foolhardy, daring, rash, reckless	liều lĩnh
dosage, dose, amount	liều lượng
high dose, high dosage	liều lượng cao
low dose, low dosage	liều lượng thấp
medium dose, medium dosage	liều lượng vừa phải
to risk or imperil or hazard or stake one’s life	liều mình
to risk one’s life	liều mạng
medicine	liều thuốc
single dose	liều đơn
pot scroll	liễn
the fair(er) sex, women	liễu bồ
to shroud, lay out	liệm
to enumerate, put in a category	liệt
the world powers	liệt cường
impotent, with out sexual power	liệt dương
confined in bed	liệt giường
to list, enumerate, number	liệt kê
to list some points	liệt kê những điểm
listed by country	liệt kê theo nước
heroine	liệt nữ
virtuous woman	liệt phụ
(honored) ladies and gentleman	liệt quý vị
all nations	liệt quốc
martyr, hero, war dead	liệt sĩ
all the saints	liệt thánh
stories of celebrities, biographies	liệt truyện
(1) (rhetorical question maker); (2) to think about, reflect, foresee; (3) material, ingredient; (4) to manage	liệu
think about, consider	liệu chừng
to live within one’s means	liệu cơm gắp mắm
be careful, take care, look out	liệu hồn
therapeutics	liệu pháp
to estimate one’s strength	liệu sức
(1) worried, anxious, afraid; to worry, fear, frighten; (2) to care about, look after	lo
to be worried and sad	lo buồn
unnecessary worry	lo bò trắng răng
to do one’s part, fulfill one’s responsibilities	lo bổn phận
to take care of	lo cho
to be anxious, worried about the future	lo cho tương lai
to worry about sth	lo chuyện
to fend for, make arrangement for, contrive	lo liệu
to try to bribe	lo lót
worried, concerned, anxious, uneasy; to worry; worry, concern, anxiety	lo lắng
suffer a constant anxiety	lo ngay ngáy
to worry, be concerned	lo nghĩ
to worry about	lo nghĩ về
worried, concerned, apprehensive, fearful	lo ngại
to become anxious or uneasy (unnecessarily)	lo quanh
to be troubled by cares	lo sốt vó
worried, afraid, anxious; to worry, be afraid	lo sợ
anxious, worried; to worry	lo toan
to bear, carry responsibility	lo trách nhiệm
be concerned with	lo về
provident, far-sighted, foresighted, visionary	lo xa
worried, concerned, uneasy	lo âu
to worry about	lo đến
megaphone	loa
madonna lily	loa kèn
stereo speaker	loa lập thể
loudspeaker	loa phóng thanh
to announce, make known	loan
to announce, make known, inform; announcement	loan báo
(to make an) official announcement	loan báo chính thức
royal carriage	loan giá
woman’s apartment	loan phòng
the married couple, the husband and wife	loan phượng
to announce, report	loan tin
to spread	loang
watery, weak	loang loáng
speckled, spotted	loang lổ
undecided; move, go around	loanh quanh
give oneself trouble, make a great fuss, busy oneself	loay hoay
cupped, flaring	loe
smeared all over	loe loét
to tell tales, peach	loe toe
hopping	loi choi
to creep, crawl	loi ngoi
disorderly, not correct, not proper (of clothes)	loi thoi
stooping, bending; to stoop, bend	lom khom
confused, mixed, chaotic, jumbled	lom lem
to flame, blaze	lom đom
(1) jar, can; (2) (military) stripe, chevron	lon
can of beer, beer can	lon bia
to run with short steps, trot	lon ton
to do something in a hurry	lon xon
(1) to come off, come apart; (2) dragon; imperial	long
sound of rapid running water	long bong
imperial mantle, imperial robe	long bào
dragon’s palace	long cung
imperial robe, royal tunic	long cổn
ambergris	long diên hương
the Emperor’s face	long diện
imperial carriage, imperial coach	long giá
sparkling, glistening	long lanh
fluid, loose, runny	long lỏng
eyelashes	long mi
favorable geomantic features, good layer of earth	long mạch
dragon countenance, the emperor’s countenance	long nhan
jingling	long nhong
longan	long nhãn
camphor	long não
dragon and phoenix	long phụng
imperial bed, king’s bed	long sàng
(of eyes) flashing with rage	long sòng sọc
the person of the emperor	long thể
prosperous, wealthy	long thịnh
run about; drip-drop, dripping sound	long tong
festive and solemn, formal	long trọng
earthshaking	long trời lở đất
seaweed	long tu
happy occasion	long vân
dragon king (king of river or ocean)	long vương
imperial carriage, imperial coach	long xa
to have a hard time, hard, unlucky	long đong
imperial court, imperial palace	long đình
species, type	loài
reptile; reptilian	loài bò sát
gastropod	loài chân bụng
cephalopod	loài chân đầu
mammal	loài có vú
crustacean	loài giáp sác
rodents	loài gậm nhấm
rodents	loài gặm nhấm
rodents	loài gặn nhấm
mammals	loài hữu nhũ
human race, mankind, humankind	loài người
animal kingdom	loài vật
rebel	loàn
common, plain, second rate, mediocre, so-so	loàng xoàng
to spread	loán
(1) shiny; (2) short instant	loáng
feel giddy, groggy	loáng choáng
vaguely	loáng thoáng
(of wound) to be gaping	loét
curly, frizzy	loăn xoăn
uncoordinated	loạc choạc
(1) category, sort, kind, species; (2) to remove, reject, eliminate, fail	loại
peculiar, specific	loại biệt
to eliminate, push out, reject	loại bỏ
plant species	loại cây
generic name	loại danh
type, form, genre	loại hình
to dispose of	loại hủy
dramatic form, type of drama	loại kịch
analogy	loại suy
(type of) insect	loại sâu bọ
to eliminate, expel, exclude	loại trừ
fault clearing	loại trừ sự cố
to remove someone’s a name from a list	loại tên ai ra khỏi danh sách
writing system	loại văn tự
syllabary	loại vần
kana syllabary	loại vần Kana
disordered, in disorder	loạn
wild, crazy	loạn cuồng
incestuous	loạn dâm
incest, incestuous	loạn luân
mutiny, warfare, war, trouble	loạn ly
trouble, war, hostilities	loạn lạc
talk big, talk through one’s hat, nonsensical talk	loạn ngôn
arrhythmic, arrhythmia	loạn nhịp
dysendrocrinia	loạn nội tiết
dysphasia	loạn sản
daltonism, colorblindness	loạn sắc
a rebellious subject	loạn thần
astigmatism	loạn thị
to be deranged, be mad	loạn trí
diskinesis	loạn vận động
in confusion, in disorder	loạn xạ
in disorder, disarray	loạn xị
go out of one’s mind, mental derangement, be mentally	loạn óc
to stagger, reel, lurch, totter	loạng choạng
to stagger back a few steps	loạng choạng lùi vài bước
to sway, stagger, move clumsily	loạng quạng
series	loạt
vocabulary	loạt tự vựng
rustle, rustling	loạt xoạt
clanking, clash, clatter, clink (dishes)	loảng choảng
tiny, of small size, undersized	loắt choắt
zigzags	loằng ngoằng
container, jar	lu
very busy with something, knee-deep in something, up to one’s	lu bù
make a scene	lu loa
dim	lu lơ
tarnished, eclipsed, overshadowed, dimmed	lu mờ
to move backward, retreat, recede, draw back, pull back, step back	lui
withdraw the troops, retreat	lui binh
to postpone, draw back, pull back, set back	lui lại
slide away, steal away	lui lủi
to frequent	lui tới
(1) careful (of thinking); (2) cage [= lồng]	lung
to shake, be unstable	lung lay
rough and violent	lung lăng
to corrupt	lung lạc
in disorder, in disarray; disorder, confusion	lung tung
love, romance	luyến ái
(music) ligature	luyến âm
to refine, train	luyện
to drill soldiers	luyện binh
metallurgy; to refine metal	luyện kim
iron and steel metallurgy	luyện kim đen
to prepare for examinations	luyện thi
drill, exercise; to drill, practice, train	luyện tập
conversation drill	luyện tập hội thoại
grammar drill	luyện tập nhữ pháp
to exercise, work out (physical)	luyện tập thể dục
alchemy	luyện đan
to discuss, consider	luân
rotation of crops, crop rotation	luân canh
to rotate	luân chuyển
metempsychosis, transmigration, samsara	luân hồi
moral, ethic, principle	luân lý
(the field of) logic, ethics, moral philosophy	luân lý học
to decline	luân lạc
to alternate, take turns; alternating, rotating	luân phiên
code of behavior, moral principles	luân thường
bedraggled, dirty, filthy	luôm nhuôm
continuously, non-stop, on and on, often, frequently, right away, immediately, at once, all at the same time, all in one operation, always	luôn
always, incessantly, constantly	luôn luôn
to talk incessantly	luôn miệng
without let-up or stopping, incessantly	luôn tay
perplexed, embarrassed	luýnh quýnh
to dangle about, hover about	luẩn quẩn
to discuss, consider	luận
data, facts (used to substantiate some theory), theoretical	luận chứng
assess the merits, assess the achievements (of a community)	luận công
thesis	luận cương
foundation, basis, ground	luận cứ
commentator	luận giả
interpret	luận giải
logic, reason	luận lý
for the reason that	luận lý rằng
to interpret	luận nghĩa
theory, doctrine	luận thuyết
to bring an accusation against somebody	luận tội
essay, composition, dissertation	luận văn
thesis, dissertation	luận án
theoretical point	luận điểm
argument	luận điệu
to negotiate	luận đàm
subject of discussion, thesis, topic	luận đề
law, regulation, rule	luật
naval law	luật biển
tone rules (for Chinese and Vietnamese	luật bằng trắc
immigration law	luật di trú
civil law, civilian rule, civil government	luật dân sự
lawyer	luật gia
criminal law	luật hình
law studies	luật học
law (subject of study)	luật khoa
law on insurance business	luật kinh doanh bảo hiểm
law of the labor union	luật lao động
law, rule, regulation	luật lệ
traffic regulations	luật lệ giao thông
banking regulation	luật lệ ngân hàng
tax laws, rules, regulations	luật lệ thuế vụ
law	luật mối
law	luật pháp
international law	luật quốc tế
law of the jungle	luật rừng
lawyer, attorney, barrister, advocate	luật sư
defense lawyer	luật sư biện hộ
trade law	luật thương mại
bewildered, abashed	luống cuống
furrow	luống cày
always incessantly	luống những
old, advanced (in age)	luống tuổi
to pass through	luồn
to crawl, crouch, creep	luồn cúi
thread one’s way	luồn lách
worm one’s way into for benefits	luồn lỏi
electric current	luồn điện
current	luồng
blast	luồng gió
air current, breeze	luồng khí
narrow passage (of rivers, harbors)	luồng lạch
train of thought	luồng tư tưởng
electric current	luồng điện
careless, unkempt	luộm thuộm
cup, glass; millimeter	ly
glass of beer	ly bia
coffee cup	ly cà phê
to divorce	ly dị
to divorce (one another)	ly dị nhau
divide, cause disagreement between	ly gián
thickening of the mucus	ly giải chất nhầy
divorce	ly hôn
to leave one’s native land	ly hương
dissident; to leave, depart	ly khai
to leave the Communist party	ly khai đảng Cộng sản
blood-and-thunder, sensational, thrilling	ly kỳ
drinking glass	ly nước
(alcoholic) drink, glass of alcohol	ly rượu
glass of champagne	ly sâm banh
a glass of milk	ly sữa
(marital) separation	ly thân
cups and glasses	ly tách
scattered, displaced	ly tán
centrifugal	ly tâm
that; to be	là
to be a certainty	là cái chắc
to be a comfort to someone	là nguồn an ủi của người nào
to be like that, to be thus	là như vậy
(is) because	là vì
at least	là ít
that’s enough	là đủ
is enough to show, let one know that	là đủ để biết
to do, work, make, function as, serve; to cause something to happen	làm
to tranquilize	làm an tâm
to stabilize	làm an định
to play the hero	làm anh hùng
to make a report	làm biên bản
to be lazy, goof off	làm biếng
to be an emblem, serve as a symbol	làm biểu tượng
to do an exercise or homework or lessons	làm bài
to do exercises, homework	làm bài tập
to set the table	làm bàn
to rule	làm bá chủ
to rule the world	làm bá chủ thiên hạ
to be or become a concubine	làm bé
to do it then and there	làm béng đi
to make a puppet (out of someone)	làm bù nhìn
to make friends with, befriend	làm bạn
to make friends with	làm bạn với
to make an estimate, draw up an estimate	làm bản ước lượng
to make someone unhappy, discontent	làm bất mãn
to soil, make dirty	làm bẩm
to trap, catch in a trap	làm bẫy
to do silly things	làm bậy
serve as evidence	làm bằng
made of steel	làm bằng thép
to do the cooking, cook	làm bếp
to harass	làm bối rối
to work as a waiter	làm bồi
to do one’s duty, fulfil one’s obligation	làm bổn phận
to do one’s part	làm bổn phận của mình
conceited; to pretend to	làm bộ
conceited, stuck up; to consider something beneath one’s dignity	làm cao
conduct an expiatory mass	làm chay
make preparations for the fifth-month rice crop	làm chiêm
killing 9 people, causing 9 people to die	làm cho 9 người bị chết
to cause, make	làm cho
to make companies more competitive	làm cho các công ty có sức cạnh tranh cao hơn
to make everyone believe (something that isn’t true)	làm cho mọi người lầm tưởng
to give others the strong impression (that)	làm cho người ta mang cảm tưởng
to increase someone’s prestige	làm cho uy tín của ai lên cao
to telecommute	làm cho viễn thông
to make life miserable	làm cho đời sống nghèo khổ
to work together	làm chung
to do something	làm chuyện gì đó
how the hell, how the fuck	làm chó gì
money for jam, money for old rope	làm chơi ăn thật
to kill	làm chết
to own, manage	làm chủ
to chair, be the chairperson	làm chủ tịch
to testify, vouch	làm chứng
to vouch for, testify on behalf of	làm chứng cho
to vouch for each other	làm chứng cho nhau
to commit perjury, perjure oneself	làm chứng giàn
to take (sb) hostage	làm con tin
to make weapons out of bronze	làm các võ khí bằng đồng
keep the bank, be the banker (at a gambling table)	làm cái
to do what, how	làm cái gì
what are you doing?	làm cái gì vậy
to cost a company several million dollars	làm công ty tốn hàng triệu mỹ kim
to work (at a job)	làm công việc
to make the basis of	làm căn bản
to cook, prepare a meal	làm cơm
to obstruct, hamper, block	làm cản trở
to guard, work as a bodyguard	làm cận vệ
to cut or mow grass, cut or mow the lawn	làm cỏ
to adorn oneself	làm dáng
to (make a) sign, signal	làm dấu
to make a sign, make a gesture	làm dấu hiệu
to cross oneself, make the sign of the cross	làm dấu thánh giá
to abate, ease	làm dịu
to kick up a row	làm dữ
to become more fierce	làm dữ lên
to frighten someone	làm e sợ
to increase	làm gia tăng
to become wealthy, get rich, enrich	làm giàu
to enrich uranium	làm giàu urani
to spy	làm gián điệp
to interrupt, disrupt	làm gián đoạn
to make the bed	làm giường
to counterfeit	làm giả
to reduce someone’s authority	làm giảm quyền hành
to fill out forms, documents	làm giấy tờ
rebel, revolt	làm giặc
to do what; why?	làm gì
how could one not understand	làm gì không hiểu
to do more	làm gì thêm
to give someone a hard time	làm găng
to set an example	làm gương
to set an example	làm gương mẫu
to set a bad example	làm gương xấu
to do something twice (because it wasn’t finished the first time)	làm hai thì
window-dress	làm hàng
to ruin, spoil	làm hư
to hurt, damage, harm	làm hại
to harm	làm hại đến
to finish	làm hết
to discharge one’s duties	làm hết bổn phận
to do everything in one’s ability	làm hết khả năng mình
to break, wreck, ruin, spoil, foil, thwart	làm hỏng
to be rude (toward someone)	làm hỗn
to damage	làm hự hại
to work unpaid or for nothing or for peanuts	làm không công
to make (someone) unhappy or miserable, torment	làm khổ
to work as an engineer	làm kỹ sư
to do sth right away	làm liền
run the risk (of doing something), run risks	làm liều
to rebel, vise up against	làm loạn
to legislate, make laws	làm luật
to make it up with	làm lành
to be a soldier	làm lính
pluck, deplume (a hen, goose), remove hair from the skin of	làm lông
ignore, turn a blind eye to	làm lơ
to do again, rework	làm lại
to offend	làm lất lòng
to take up, start an action	làm lấy
become someone’s concubine	làm lẽ
to hold a ceremony, observe a ritual, celebrate a holiday	làm lễ
to get engaged	làm lễ đính hôn
to start, cause an avalanche	làm lở núi đá
to flood	làm lụt lội
act as a matchmaker	làm mai
make preparations for the tenth-month rice crop	làm mùa
to create havoc, rule by fire and thunder	làm mưa làm gió
to be heavy-handed	làm mạnh tay
to lose, cause the loss of	làm mất
to serve as a model	làm mẫu
to make a serious face	làm mặt nghiêm
to chip	làm mẻ
refining	làm mịn
to do everything, use every means	làm mọi cách
fall a prey to	làm mồi
to make a young woman pregnant	làm một cô gái mang bầu
to have a drink (of alcohol)	làm một ly
to work for six hours at a stretch	làm một lèo sáu tiếng liền
work alone	làm một mình
to take a swig	làm một ngụm
to take a swig of beer	làm một ngụm bia
to do something right away	làm ngay
to do something at once	làm ngay sốt sột
to do a job, work	làm nghề
to work as a mechanic	làm nghề thợ máy
to present a health hazard	làm nguy hại sức khỏe
to make someone a little dizzy	làm người hơi choáng váng
to put someone at ease	làm người nào an lòng
to make someone dizzy	làm người nào chóng mặt
into many pieces	làm nhiều mảnh
to do (something) perfunctorily for the sake of getting it done	làm nhuế nhóa cho xong chuyện
to sully one’s family’s name	làm nhuốc danh gia đình
to rumple, crumple	làm nhàu
to witness, be a witness	làm nhân chứng
to work	làm nhân viên
to blur, smudge, smear	làm nhòe
to do (something) by halves	làm nhăng nhít cho qua
to act as, do sth as	làm như
to act mechanically	làm như chiếc máy
to act as if one does not (do sth)	làm như không
to do that, act that way	làm như thế
to do (sth) this way	làm như thế này
do as I do	làm như tôi
in, by doing so	làm như vậy
to dishonor, disgrace, disrespect	làm nhục
to wear down	làm nhụt
to do objectionable things	làm những việc bậy bạ
make one’s way in life (in the world)	làm nên
to farm	làm nông trại
to wheedle	làm nũng
finish it!	làm nốt đi
to fire a mine	làm nổ một trái mìn
to blow up	làm nổ tung
to set off	làm nổi bật
to make noticeable, bring out, call attention to	làm nổi bật lên
to be a housewife	làm nội trợ
to leave a job unfinished	làm nửa chừng bỏ dở
to do (something) by halves	làm nửa vời
to give oneself superior airs, put on superior airs	làm oai
to disturb, annoy, bother	làm phiền
to harass, bother	làm phiền hà
to enrich, make rich	làm phong phú hóa
to bankrupt (someone or something)	làm phá sản
to work miracles, use magic	làm phép
to betray, be a traitor	làm phản
to do one’s part, share	làm phần mình
to complicate, make (something) more complicated, create (additional) complications	làm phức tạp thêm
to be an official	làm quan
to make the acquaintance of	làm quen
to become familiar with, get acquainted with	làm quen với
to make someone’s acquaintance	làm quen với ai
as a present	làm quà
to do too much, go too far	làm quá
to create, produce, make, put out	làm ra
to create the appearance (that)	làm ra cái vẻ
to put on an appearance, give an appearance of	làm ra vẻ
to grow rice, be a rice-grower	làm ruộng
to do sth very often	làm rất thường
to slash and burn	làm rẫy
tenancy farming, hold land on lease-hold system, pay half of	làm rẽ
to become a son-in-law	làm rể
to entangle, tangle, complicate matters	làm rối
to disorganize	làm rối loạn tổ chức
civil disturbance	làm rối trật tự
(already) done	làm rồi
to matter; how, what, in what way	làm sao
how would one know	làm sao biết
how could one know?	làm sao biết được
how can one stand, how can one bear (sth)	làm sao chịu được
somehow, somewhat, in a way	làm sao đó
how is (sth) possible	làm sao được
to bring about, give birth to	làm sinh ra
to work very hard	làm sặc máu
to make (something from the past) come alive again, revitalize, reincarnate, reanimate, bring back to life	làm sống lại
to knock down, topple, destroy	làm sụp đổ
to follow suit, do likewise	làm theo
to do as the family wants	làm theo ý gia đình
to damage, destroy	làm thiệt hại
to kill	làm thiệt mạng
to be an apothecary	làm thuốc
to do business, conduct trade, commerce	làm thương mại
to be a teacher	làm thầy
to do that, do that way	làm thế
to do what; what to do; how	làm thế nào
as security	làm tin
to prepare a banquet, hold a party	làm tiệc
to be a man	làm trai
to delay	làm trì hoãn
to play a game	làm trò
to make trouble	làm trò khó dễ
to fulfill a duty, obligation	làm tròn bổn phận
to round something up or down	làm tròn số
to paralyze	làm tê liệt
to make love, have sex	làm tình
to suprise me	làm tôi ngạc nhiên
to increase, raise	làm tăng
to consult, work as a consultant	làm tư vấn
to (build or make a) nest	làm tổ
to harm, hurt, damage, injure	làm tổn hại
to be, act as president	làm tổng thống
to work	làm việc
to work for	làm việc cho
to do a good job	làm việc cho giỏi
to work together	làm việc chung
to work together	làm việc chung với nhau
to do a half-heated job	làm việc cầm chừng
to be a good worker, be a hard worker	làm việc hăng say
to do one's job well	làm việc khá
to return to work	làm việc lại
to collapse from overwork	làm việc nhiều quá quỵ rồi
to do housework	làm việc nhà
to be prompt in one’s work	làm việc nhặm lẹ
hard, arduous work	làm việc nặng nhọc
to work hard and without rest, toil	làm việc quần quật
to work the whole day without knocking off	làm việc suốt cả ngày không ngừng tay
to work all day	làm việc suốt ngày
to work as a group	làm việc theo nhóm
to work by snatches	làm việc tùy hứng
to finish work	làm việc xong
to be the king, rule	làm vua
to garden, do the garden	làm vườn
to act thus, do like that	làm vậy
to make one’s wife	làm vợ
to stabilize	làm vững vàng
to finish, come to an end	làm xong
to do the wrong thing, do wrong	làm xằng
to do sth exactly like	làm y như chính
to be (work as) a nurse	làm y tá
to make someone speechless	làm á khẩu
to cause the water to be polluted, pollute the water	làm ô nhiễm nước
to work, do business, make a living	làm ăn
to be profitable, run a profitable business	làm ăn có lãi
to do things in a higgledy-piggledy manner	làm ăn nhí nhố
to make, hold an investigation, investigate	làm ăng kết
to hurt	làm đau
to make a movie	làm điện ảnh
gesticulate, saw the air	làm điệu
to work nights	làm đêm
to prostitute oneself, work as a prostitute	làm đĩ
to make a report	làm đơn
to be able to do	làm được
to be, serve as ambassador	làm đại sứ
to do the hair of ~, style the hair of	làm đầu
to work in the fields	làm đồng
spill, bring down	làm đổ
to do all kinds of things	làm đủ thứ
to do a favor; please	làm ơn
to do sb a favor	làm ơn cho
to do each other favors	làm ơn cho nhau
do the favor of showing me the way	làm ơn chỉ đường giùm tôi
to wet, make wet	làm ướt
plough (hoe) (the soil) loose	làm ải
to have an adverse affect on	làm ảnh hưởng xấu tới
to make a noise, din, racket	làm ồn
(1) basket; (2) [CL for waves, winds, trails]	làn
a wave of discontent	làn sóng bất mãn
waves of people	làn sóng người
shortwave (frequency)	làn sóng ngắn
medium wave (frequency)	làn sóng trung bình
electromagnetic wave	làn sóng điện từ
wave, wavelength	làn sống
to fulfill a duty, obligation	làn tròn
village, community	làng
opium smokers	làng bẹp
combat villages	làng chiến đấu
the jet set	làng chơi
village	làng mạc
trade village	làng nghề
(of person) rather thin	làng nhàng
village (inhabitants), village people	làng nước
village	làng thôn
the village community	làng xã
village (inhabitants) co-villagers, people, neighbors	làng xóm
to heal (a wound)	lành
a kind of mullet	lành canh
rapid healing	lành da
have a god stomach (of one’s meals), a healthy appetite	lành dạ
a little chilly, slightly cold	lành lạnh
intact, well, healed, unbroken	lành lặn
sound, healthy, wholesome	lành mạnh
to clean up, make healthy	lành mạnh hóa
qualified, skilled	lành nghề
gentle as a lamb	lành như bụt
whisper	lào thào
without a hitch	làu
to grumble	làu bàu
fluently, completely, thoroughly by heart	làu làu
leaf	lá
sail	lá buồm
cake wrapping leaf	lá bánh
leaflet, foliole	lá chét
shield	lá chắn
missile defense shield	lá chắn tên lửa
leaf (of a plant)	lá cây
the leaves change colors	lá cây đổi màu
flag	lá cờ
phrynium	lá dong
liver	lá gan
compound leaf	lá kép
spleen	lá lách
leaves (in general)	lá lẩu
broadleaf	lá lớn
vomer	lá mía
vomer	lá mĩa
gemma	lá mầm
dishonest, double-dealing, double-faced, two-faced	lá mặt lá trái
carpel	lá noãn
jacket collar lining	lá sen
manyplies, manifold	lá sách
ballot-paper, voting-paper	lá thăm
letter	lá thư
an unsigned, anonymous letter	lá thư không ký tên
email (letter)	lá thư điện
packet (in a network)	lá thư điện tử
love message, love letter	lá thắm
squinting, cross-eyed	lác
scattered, spread around	lác đác
(1) to swerve (through), make one’s way (through); (2) spleen	lách
click, clatter	lách cách
to crackle, splatter	lách tách
to drive (a vehicle)	lái
dealer, merchant	lái buôn
to drive a car	lái chiếc
to drive a car	lái chiếc xe
to fly an airplane	lái máy bay
to fly, pilot a spacecraft	lái phi thuyền
to pilot a ship	lái tàu
to fly a plane	lái tàu bay
to drive (a car)	lái xe
to drive a jeep	lái xe díp
to drive in a circle around	lái xe một vòng phía ngoài
to drive too fast, speed, be speeding	lái xe quá tốc độ
to drive to	lái xe tới
to drive home	lái xe về nhà
boatman	lái đò
tent, hat, shack	lán
camp, tent	lán trại
glossy, smooth	láng
hang around, loiter about, drop in for a short time	láng cháng
neighbor(ing)	láng giềng
vaguely	láng máng
to avoid, escape	lánh
hide, conceal oneself, seek shelter, find or take	lánh mình
to avoid meeting	lánh mặt
to flee away, refuge	lánh nạn
to escape from Japan	lánh sang Nhật
to draw aside, keep away	lánh xa
(1) insolent, impertinent; (2) to lie	láo
to lie	láo khoét
to dazzle, bedazzle	láo mắt
badly mixed	láo nháo
impudent, impertinent, insolent, brazen-faced	láo xược
instant, moment; slice	lát
cross-section	lát cắt
cross section	lát cắt qua
cross section	lát cắt đi ngang qua
textured wood	lát hoa
later on, in a few minutes	lát nữa
later	lát sau
lathing	lát ti
shrewd, cunning, artful, (of child) smart, clever	láu
smart, cunning	láu cá
roguish, sly	láu lỉnh
act or talk fast and thoughtlessly carelessly, hurriedly	láu táu
to repeat, reiterate	láy
(1) neighbor; forest, woods; (2) to be on the verge of, about to	lâm
to fall ill, be taken ill, become sick	lâm bệnh
to give birth, have a baby	lâm bồn
to be about to die	lâm chung
service of forestry	lâm chính
murmur	lâm dâm
sylviculture, forestry	lâm học
moving, plaintive, complaining, pathetic	lâm li
forest industry, forestry	lâm nghiệp
to be in danger	lâm nguy
to fall into calamity	lâm nạn
clinical	lâm sàng
forest products	lâm sản
be engaged with something, in case of need, should the	lâm sự
forest and native products	lâm thổ sản
interim, provisional	lâm thời
afforestation yards	lâm trường
enter the fight, engage in battle	lâm trận
to stumble into, fall into	lâm vào
to land in an impasse	lâm vào tình trạng bế tắc
neighboring country, neighboring state	lân bang
neighboring, neighbor, near, in the vicinity (of)	lân bàng
neighboring, adjoining	lân cận
next to, neighboring, adjacent	lân giêng
frequent, get near, seek the friendship	lân la
neightbourhood	lân lí
phosphorescence	lân quang
neighboring country	lân quốc
phosphorous	lân tinh
pity, compassion	lân tuất
impudent, impertinent, insolent, haughty, arrogant	lâng láo
very light	lâng lâng
long (of time); to take a long time	lâu
durable, long-lasting	lâu bền
long lasting, enduring	lâu dài
a little (while) longer	lâu hơn một chút
underling, henchmen, minion	lâu la
from time to time, now and then	lâu lâu
long, a long time, slow	lâu lắc
a long time ago	lâu lắm rồi
for a long time	lâu lắt
lately, recently, long since, for a long time	lâu nay
for a long time	lâu ngày
to swarm, teem	lâu nhâu
for many years	lâu năm
for a very long time	lâu quá
it has been a long time (since)	lâu quá rồi
durable, lasting, permanent; palace	lâu đài
long-standing, old	lâu đời
contagious, communicatble, contaminated, infected; to transmit	lây
to spread (disease)	lây lan
to dawdle, tergiversate, temporize	lây nhây
to transmit (a disease)	lây truyền
stream down, flow down	lã chã
profit, interest, dividend; to earn a profit	lãi
net interest, net profit	lãi ròng
interest rate	lãi suất
long term interest rate	lãi suất dài hạn
low interest rate	lãi suất nhẹ
low interest rate	lãi suất thấp
to look, see	lãm
to go on go-slow strike, go on slowdown strike	lãn công
(1) wave; (2) to waste, squander; (3) bright	lãng
roam about, wander, travel	lãng du
romantic	lãng mạn
senseless	lãng nhách
oblivion	lãng quên
vagabond	lãng tử
the immortals’ abode	lãng uyển
